"Customer Name",TotalSales,"Customer ID"
"Brosina Hoffman",37532.05100000001,BH-11710
"Irene Maddox",29582.924000000006,IM-15070
"Pete Kriz",48951.90400000001,PK-19075
"Tracy Blumstein",28383.72799999997,TB-21520
"Matt Abelman",25683.721,MA-17560
"Steve Nguyen",18767.8092,SN-20710
"Linda Cazamias",26886.962000000014,LC-16930
"Ruben Ausman",22993.91400000001,RA-19885
"Erin Smith",27891.115999999987,ES-14080
"Kunst Miller",29456.821999999986,KM-16720
"Karen Daniels",49694.158,KD-16270
"Tracy Blumstein",28383.72799999997,TB-21520
"Joel Eaton",38402.704999999994,JE-15745
"Joel Eaton",38402.704999999994,JE-15745
"Stewart Carmichael",26956.056999999993,SC-20770
"Christopher Schild",21911.158499999998,CS-12400
"Gary Mitchum",18471.774,GM-14455
"Rick Bensley",27339.415999999997,RB-19465
"Gary Zandusky",26130.899999999987,GZ-14470
"Janet Martin",18872.17399999999,JM-15250
"Clay Ludtke",65283.34599999998,CL-12565
"Steven Cartwright",31357.210000000014,SC-20725
"Alan Dominguez",36605.99999999999,AD-10180
"Lindsay Shagiari",17931.923999999988,LS-16975
"Lena Creighton",44380.67400000002,LC-16885
"Jonathan Doherty",38738.755999999994,JD-15895
"Sandra Glassco",20439.481000000003,SG-20080
"Tamara Willingham",30987.725999999984,TW-21025
"Dave Brooks",25591.793999999987,DB-13060
"Nora Paige",23379.842,NP-18670
"Ted Trevino",29493.552,TT-21070
"Ruben Dartt",18803.524000000005,RD-19900
"Max Jones",37693.37599999998,MJ-17740
"Becky Martin",69659.45000000001,BM-11140
"Joel Eaton",38402.704999999994,JE-15745
"Jim Kriz",28514.691999999985,JK-15640
"Robert Marley",35806.386,RM-19675
"Frank Merwin",22417.19800000001,FM-14290
"Mark Packer",19236.731999999993,MP-17470
"Cassandra Brandow",36169.42700000001,CB-12025
"Fred Hopkins",40101.96,FH-14365
"Heather Kirkland",29266.783999999985,HK-14890
"Joseph Holt",47729.948,JH-15985
"Victoria Wilson",36676.202,VW-21775
"David Smith",17290.812799999992,DS-13180
"Valerie Dominguez",37700.15399999999,VD-21670
"Christopher Schild",21911.158499999998,CS-12400
"David Bremer",17590.267999999996,DB-13120
"Ken Lonsdale",84431.51700000004,KL-16645
"Dianna Wilson",31541.098000000005,DW-13480
"Kelly Collister",23449.612,KC-16540
"Dan Reichenbach",37483.20599999999,DR-12880
"Sean Braxton",48347.341000000015,SB-20290
"Alan Hwang",28832.093999999997,AH-10210
"Claudia Bergmann",24741.11550000001,CB-12535
"Kristen Hastings",35207.109,KH-16690
"Steven Cartwright",31357.210000000014,SC-20725
"Tracy Blumstein",28383.72799999997,TB-21520
"Kelly Lampkin",26902.633999999984,KL-16555
"Jonathan Doherty",38738.755999999994,JD-15895
"Alan Schoenberger",25494.000000000007,AS-10225
"Ben Peterman",21661.743,BP-11185
"Thomas Seio",32226.64,TS-21205
"Sung Pak",24171.437999999987,SP-20860
"Nathan Mautz",38756.043999999994,NM-18445
"Frank Atkinson",17904.303999999996,FA-14230
"Grace Kelly",38983.67000000003,GK-14620
"Patrick O'Brill",44204.03419999999,PO-18850
"Adam Bellavance",46396.06999999999,AB-10060
"Jeremy Lonsdale",18856.446000000007,JL-15505
"Heather Kirkland",29266.783999999985,HK-14890
