"Customer Name",TotalSales,SalesRank
"Claire Gute",6892.680000000001,588
"Darrin Van Huff",6716.882999999999,593
"Sean O'Donnell",15615.475499999995,336
"Brosina Hoffman",37532.05100000001,70
"Andrew Allen",10697.222,468
"Irene Maddox",29582.924000000006,117
"Harold Pawlan",11941.864,438
"Pete Kriz",48951.90400000001,35
"Alejandro Grove",15391.557999999995,344
"Zuschuss Donatelli",8963.644,516
"Ken Black",16456.557999999986,317
"Sandra Flanagan",4581.245999999998,677
"Emily Burns",16603.319000000003,315
"Eric Hoffmann",4105.071,693
"Tracy Blumstein",28383.72799999997,129
"Matt Abelman",25683.721,155
"Gene Hale",8167.4439999999995,545
"Steve Nguyen",18767.8092,264
"Linda Cazamias",26886.962000000014,141
"Ruben Ausman",22993.91400000001,188
"Erin Smith",27891.115999999987,131
"Odella Nelson",9405.119999999997,507
"Patrick O'Donnell",14959.313999999995,354
"Lena Hernandez",13771.931999999995,384
"Darren Powers",6205.087999999997,614
"Janet Molinari",10824.846000000001,466
"Ted Butterfield",8807.331,520
"Kunst Miller",29456.821999999986,119
"Paul Stevenson",7671.888999999998,562
"Brendan Sweed",14729.577999999994,361
"Karen Daniels",49694.158,32
"Henry MacAllister",4417.6759999999995,684
"Tracy Blumstein",28383.72799999997,129
"Joel Eaton",38402.704999999994,65
"Ken Brennan",5845.314000000001,624
"Joel Eaton",38402.704999999994,65
"Stewart Carmichael",26956.056999999993,139
"Duane Noonan",12838.73999999999,421
"Julie Creighton",5151.426,658
"Christopher Schild",21911.158499999998,206
"Patrick O'Donnell",14959.313999999995,354
"Paul Gonzalez",11922.913999999992,440
"Gary Mitchum",18471.774,268
"Jim Sink",6786.413999999999,592
"Karl Braun",9416.714000000004,505
"Roger Barcio",12404.700000000003,430
"Parhena Norris",8802.951999999996,521
"Katherine Ducich",11333.764000000001,449
"Elpida Rittenbach",7474.738,570
"Rick Bensley",27339.415999999997,136
"Gary Zandusky",26130.899999999987,151
"Lena Cacioppo",15157.131999999992,349
"Janet Martin",18872.17399999999,259
"Pete Armstrong",4376.458,687
"Cynthia Voltz",14221.9636,374
"Clay Ludtke",65283.34599999998,16
"Ryan Crowe",5101.141999999998,660
"Dave Kipp",15903.307000000003,330
"Greg Guthrie",13296.007999999993,399
"Steven Cartwright",31357.210000000014,109
"Alan Dominguez",36605.99999999999,76
"Philip Fox",16620.000000000004,314
"Troy Staebel",16811.284000000003,308
"Lindsay Shagiari",17931.923999999988,278
"Dorothy Wardle",7229.104000000001,578
"Lena Creighton",44380.67400000002,47
"Jonathan Doherty",38738.755999999994,63
"Sally Hughsby",16645.53950000001,312
"Sandra Glassco",20439.481000000003,222
"Helen Andreada",15505.008000000013,339
"Maureen Gastineau",14101.187999999998,378
"Justin Ellison",16183.498,323
"Tamara Willingham",30987.725999999984,110
"Stephanie Phelps",9591.065999999999,496
"Neil Knudson",3432.2980000000002,714
"Dave Brooks",25591.793999999987,157
"Nora Paige",23379.842,184
"Ted Trevino",29493.552,118
"Eric Murdock",5602.204,637
"Ruben Dartt",18803.524000000005,262
"Max Jones",37693.37599999998,69
"Becky Martin",69659.45000000001,13
"Chad Sievert",5307.839999999999,650
"Jennifer Braxton",10749.705,467
"Shirley Jackson",7142.2260000000015,580
"Joel Eaton",38402.704999999994,65
"Jim Kriz",28514.691999999985,127
"David Kendrick",4786.982,670
"Robert Marley",35806.386,80
"Sally Knutson",5300.458999999999,652
"Frank Merwin",22417.19800000001,202
"Alice McCarthy",4884.061999999998,668
"Mark Packer",19236.731999999993,249
"Mary Zewe",15389.356000000002,345
"Cassandra Brandow",36169.42700000001,78
"Valerie Mitchum",14729.215999999999,362
"Fred Hopkins",40101.96,57
"Maria Bertelson",8563.975999999999,532
"Bruce Stewart",14954.099999999997,355
"Logan Currie",15630.611999999992,335
"Heather Kirkland",29266.783999999985,121
"Laurel Elliston",8816.699999999997,519
"Joseph Holt",47729.948,39
"Michael Stewart",5130.716,659
"Victoria Wilson",36676.202,74
"Jonathan Howell",5756.877000000001,631
"Joni Blumstein",5403.302000000001,645
"David Smith",17290.812799999992,296
"Valerie Dominguez",37700.15399999999,68
"Erin Ashbrook",15964.974999999993,328
"Christopher Schild",21911.158499999998,206
"David Bremer",17590.267999999996,288
"Ken Lonsdale",84431.51700000004,7
"Dianna Wilson",31541.098000000005,106
"Logan Haushalter",9961.854999999996,486
"Kelly Collister",23449.612,182
"Delfina Latchford",8676.365999999998,527
"Dan Reichenbach",37483.20599999999,72
"Craig Carreira",13618.151500000005,388
"Dorris liebe",4533.602000000001,680
"Sean Braxton",48347.341000000015,37
"Roy Collins",5798.459000000002,629
"Alan Hwang",28832.093999999997,124
"Claudia Bergmann",24741.11550000001,166
"Paul Gonzalez",11922.913999999992,440
"Christine Abelman",8406.473999999998,537
"Kristen Hastings",35207.109,86
"Helen Andreada",15505.008000000013,339
"Barry Blumstein",4413.069999999998,685
"Andrew Gjertsen",14032.078999999998,380
"Steven Cartwright",31357.210000000014,109
"Jas O'Carroll",11469.302,446
"Tracy Blumstein",28383.72799999997,129
"Alan Haines",9524.701999999997,498
"Nick Zandusky",14929.960000000003,356
"Kelly Lampkin",26902.633999999984,140
"Jonathan Doherty",38738.755999999994,63
"Jonathan Howell",5756.877000000001,631
"Alan Schoenberger",25494.000000000007,159
"Ken Brennan",5845.314000000001,624
"Corey Roper",2855.4000000000005,721
"Shahid Hopkins",13084.218000000003,411
"Ben Peterman",21661.743,208
