Row ID,Order ID,Customer Name,Segment,City,Region,Category,Sales,Subscription
1,CA-2016-152156,Claire Gute,Consumer,Henderson,South,Furniture,261.96,Premium
2,CA-2016-152156,Claire Gute,Consumer,Henderson,South,Furniture,731.94,Premium
3,CA-2016-138688,Darrin Van Huff,Corporate,Los Angeles,West,Office Supplies,14.62,Premium
4,US-2015-108966,Sean O'Donnell,Consumer,Fort Lauderdale,South,Furniture,957.5775,Premium
5,US-2015-108966,Sean O'Donnell,Consumer,Fort Lauderdale,South,Office Supplies,22.368,Premium
6,CA-2014-115812,Brosina Hoffman,Consumer,Los Angeles,West,Furniture,48.86,Premium
7,CA-2014-115812,Brosina Hoffman,Consumer,Los Angeles,West,Office Supplies,,Premium
8,CA-2014-115812,Brosina Hoffman,Consumer,Los Angeles,West,Technology,907.152,Premium
9,CA-2014-115812,Brosina Hoffman,Consumer,Los Angeles,West,Office Supplies,18.504,Premium
10,CA-2014-115812,Brosina Hoffman,Consumer,Los Angeles,West,Office Supplies,114.9,Premium
11,CA-2014-115812,Brosina Hoffman,Consumer,Los Angeles,West,Furniture,1706.184,Premium
12,CA-2014-115812,Brosina Hoffman,Consumer,Los Angeles,West,Technology,911.424,Premium
13,CA-2017-114412,Andrew Allen,Consumer,Concord,South,Office Supplies,,Premium
14,CA-2016-161389,Irene Maddox,Consumer,Seattle,West,Office Supplies,407.976,Premium
15,US-2015-118983,Harold Pawlan,Home Office,Fort Worth,Central,Office Supplies,68.81,Premium
16,US-2015-118983,Harold Pawlan,Home Office,Fort Worth,Central,Office Supplies,2.544,Premium
17,CA-2014-105893,Pete Kriz,Consumer,Madison,Central,Office Supplies,665.88,Premium
18,CA-2014-167164,Alejandro Grove,Consumer,West Jordan,West,Office Supplies,55.5,Premium
19,CA-2014-143336,Zuschuss Donatelli,Consumer,San Francisco,West,Office Supplies,8.56,Premium
20,CA-2014-143336,Zuschuss Donatelli,Consumer,San Francisco,West,Technology,213.48,Premium
21,CA-2014-143336,Zuschuss Donatelli,Consumer,San Francisco,West,Office Supplies,22.72,Premium
22,CA-2016-137330,Ken Black,Corporate,Fremont,Central,Office Supplies,,Premium
23,CA-2016-137330,Ken Black,Corporate,Fremont,Central,Office Supplies,60.34,Premium
24,US-2017-156909,Sandra Flanagan,Consumer,Philadelphia,East,Furniture,71.372,Premium
25,CA-2015-106320,Emily Burns,Consumer,Orem,West,Furniture,1044.63,Premium
26,CA-2016-121755,Eric Hoffmann,Consumer,Los Angeles,West,Office Supplies,,Premium
27,CA-2016-121755,Eric Hoffmann,Consumer,Los Angeles,West,Technology,90.57,Premium
28,US-2015-150630,Tracy Blumstein,Consumer,Philadelphia,East,Furniture,3083.43,Premium
29,US-2015-150630,Tracy Blumstein,Consumer,Philadelphia,East,Office Supplies,9.618,Premium
30,US-2015-150630,Tracy Blumstein,Consumer,Philadelphia,East,Furniture,124.2,Premium
31,US-2015-150630,Tracy Blumstein,Consumer,Philadelphia,East,Office Supplies,3.264,Premium
32,US-2015-150630,Tracy Blumstein,Consumer,Philadelphia,East,Office Supplies,86.304,Premium
33,US-2015-150630,Tracy Blumstein,Consumer,Philadelphia,East,Office Supplies,6.858,Premium
34,US-2015-150630,Tracy Blumstein,Consumer,Philadelphia,East,Office Supplies,15.76,Premium
35,CA-2017-107727,Matt Abelman,Home Office,Houston,Central,Office Supplies,29.472,Premium
36,CA-2016-117590,Gene Hale,Corporate,Richardson,Central,Technology,1097.544,Premium
